y,x1,x2,x3
2.900000095,9.199999809,13.19999981,2
2.400000095,8.699999809,11.5,3
2,7.199999809,10.80000019,4
2.299999952,8.5,12.30000019,2
3.200000048,9.6,12.60000038,3
1.899999976,6.800000191,10.60000038,5
3.400000095,9.699999809,14.10000038,1
2.099999905,7.900000095,11.19999981,3
,,,
#y:spring fawn count/100,,,
#x1: size of adult antelope population /100,,,
#x2: annual precipitation (inches),,,
"#x3: winter severity index (1=mild, 5=severe)",,,
# downloaded on 20200621 from https://college.cengage.com/mathematics/brase/understandable_statistics/7e/students/datasets/mlr/frames/frame.html,,,
