"location","latitude","longitude"
"Albania+Tirana",41.33315,19.81808
"Algeria+Algiers",36.70005,3.02913
"Argentina+Buenos Aires",-34.60988,-58.45221
"Australia+Brisbane",-27.4695,153.0256
"Australia+Canberra",-35.26882,149.01388
"Australia+Melbourne",-37.81585,144.96313
"Australia+Perth",45.19837,-75.83257
"Australia+Sydney",-33.86854,151.20776
"Austria+Vienna",48.22021,16.37122
"Bahamas+Nassau",25.04911,-77.35141
"Bahrain+Manama",26.2146,50.57892
"Bangladesh+Dhaka",23.73862,90.39721
"Barbados+Bridgetown",13.09269,-59.59736
"Belarus+Minsk",53.90015,27.56906
"Belgium+Brussels",50.85055,4.36697
"Belize+Belize City",17.49251,-88.1873
"Benin+Cotonou",6.25258,2.42953
"Bermuda+Hamilton",32.29276,-64.7824
"Bolivia+La Paz",-14.94575,-68.39127
"Brazil+Brasilia",-15.82066,-47.96359
"Brazil+Rio de Janeiro",-22.89287,-43.39348
"Brazil+Sao Paulo",-10.5442,-37.54154
"Bulgaria+Sofia",42.77026,23.35924
"Burundi+Bujumbura",-3.37261,29.36915
"Canada+Calgary",51.16557,-114.20872
"Canada+Edmonton",53.59923,-113.55021
"Canada+Halifax",45.02524,-63.10856
"Canada+Montreal",45.49756,-73.56737
"Canada+Ottawa",45.36437,-75.62954
"Canada+Quebec",52.93992,-73.54914
"Canada+Regina",50.41329,-104.63813
"Canada+Toronto",43.63463,-79.41
"Canada+Vancouver",49.25555,-123.02381
"Canada+Winnipeg",49.88336,-97.14545
"Central African Republic+Bangui",4.37512,18.56383
"China+Beijing",39.90325,116.38818
"China+Chengdu",30.66406,104.0685
"China+Guangzhou",23.13693,113.28858
"China+Shanghai",31.23286,121.46043
"China+Shenyang",41.81334,123.44162
"Colombia+Bogota",4.66173,-74.06782
"Congo+Brazzaville",-4.26303,15.2627
"Costa Rica+San Jose",9.89636,-84.06498
"Croatia+Zagreb",45.81812,15.97566
"Cuba+Havana",23.14389,-82.35492
"Cyprus+Nicosia",35.08205,33.07318
"Czech Republic+Prague",50.05963,14.44646
"Denmark+Copenhagen",55.69306,12.54608
"Dominican Republic+Santo Domingo",18.4912,-69.90483
"Egypt+Cairo",30.03497,31.56346
"Equador+Guayaquil",-2.1269,-79.88268
"Equador+Quito",-0.33536,-78.58027
"Ethiopia+Addis Ababa",9.00772,38.75646
"Finland+Helsinki",60.21671,24.9693
"France+Bordeaux",44.84235,-0.58091
"France+Paris",48.85755,2.34276
"Gabon+Libreville",0.40834,9.45007
"Gambia+Banjul",13.45527,-16.58439
"Georgia+Tbilisi",41.73188,44.83688
"Germany+Bonn",50.71588,7.11137
"Germany+Frankfurt",50.12581,8.65399
"Germany+Hamburg",53.56725,9.94172
"Germany+Munich",48.14323,11.55785
"Greece+Athens",39.51486,21.0455
"Guatemala+Guatemala City",14.62744,-90.51196
"Guinea+Conakry",9.62223,-13.55908
"Guinea-Bissau+Bissau",11.86638,-15.5991
"Guyana+Georgetown",6.80258,-58.16286
"Haiti+Port au Prince",18.54733,-72.33959
"Honduras+Tegucigalpa",14.08468,-87.2019
"Hong Kong+Hong Kong",22.28515,114.15845
"Hungary+Budapest",47.49622,19.04591
"Iceland+Reykjavik",64.11497,-21.87972
"India+Bombay (Mumbai)",19.13492,72.91331
"India+Calcutta",20.71595,70.95161
"India+Chennai (Madras)",13.0332,80.10931
"India+Delhi",28.65553,77.23165
"Indonesia+Jakarta",-6.18259,106.82298
"Ireland+Dublin",53.36125,-6.30798
"Israel+Tel Aviv",32.07187,34.80864
"Italy+Milan",32.17416,-96.87253
"Italy+Rome",41.88367,12.48123
"Ivory Coast+Abidjan",5.3159,-4.02064
"Japan+Osaka",34.69801,135.50604
"Japan+Sapporo",43.06877,141.35096
"Japan+Tokyo",35.68046,139.68895
"Jordan+Amman",31.6732,36.31298
"Kazakhstan+Almaty",43.21984,76.91835
"Kenya+Nairobi",-1.28487,36.82565
"Kuwait+Kuwait",29.2944,48.02601
"Kyrgyzstan+Bishkek",42.87674,74.60699
"Laos+Vientiane",18.61386,102.22222
"Latvia+Riga",56.95658,24.12355
"Lebanon+Beirut",33.8899,35.50275
"Macedonia+Skopje",42,21.4333
"Madagascar+Antananarivo",-18.90524,47.52669
"Malawi+Lilongwe",-13.97061,33.78051
"Malaysia+Kuala Lumpur",3.14456,101.6896
"Mauritania+Nouakchott",18.13576,-15.90603
"Mexico+Guadalajara",20.67915,-103.37874
"Mexico+Mexico City",19.42288,-99.1324
"Mexico+Monterrey",25.699,-100.52
"Mongolia+Ulan-bator",47.93429,106.95263
"Morocco+Rabat",34.00195,-6.84504
"Mozambique+Maputo",-25.55054,32.46449
"Myanmar (Burma)+Rangoon",16.69004,98.51504
"Namibia+Windhoek",-22.55304,17.05438
"Nepal+Katmandu",27.70628,85.32663
"New Zealand+Auckland",-36.54128,174.55061
"Nicaragua+Managua",12.12609,-86.33383
"Nigeria+Lagos",6.53071,3.70884
"Nigeria+Niamey",4.53944,7.24715
"North Korea+Pyongyang",39.07985,125.80146
"Norway+Oslo",59.9169,10.77083
"Oman+Muscat",23.51255,58.50575
"Pakistan+Islamabad",34.57336,73.36002
"Pakistan+Karachi",24.86173,67.08697
"Panama+Panama City",9.02436,-79.48583
"Peru+Lima",-11.79883,-76.65276
"Philippines+Manila",14.59612,120.98963
"Poland+Warsaw",52.2189,21.234
"Portugal+Lisbon",38.99545,-9.14364
"Qatar+Doha",25.3015,51.49967
"Romania+Bucharest",44.43817,26.09501
"Russia+Moscow",55.75692,37.60953
"Russia+Yerevan",40.15447,44.50791
"Saudi Arabia+Dhahran",26.29723,50.11638
"Saudi Arabia+Riyadh",21.41198,39.89296
"Senegal+Dakar",14.70811,-17.45081
"Serbia-Montenegro+Pristina",42.44607,18.64184
"Sierra Leone+Freetown",8.45995,-13.2423
"Singapore+Singapore",1.33594,103.83717
